yearMonth,species,monthlyCases
"""2021-5""","""Equidae""",27
"""2021-5""","""Branta leucopsis""",15
"""2021-5""","""Threskiornis aethiopicus""",14
"""2021-5""","""Laridae""",13
"""2021-5""","""Alopochen aegyptiaca""",9
"""2021-5""","""Haliaeetus albicilla""",7
"""2021-5""","""Sterna hirundo""",4
"""2021-5""","""Ara ararauna""",2
"""2021-5""","""Tyto alba""",2
"""2021-5""","""Plectropterus gambensis""",2
"""2021-5""","""Larus dominicanus""",2
"""2021-5""","""Pterodroma macroptera""",1
"""2021-5""","""Haematopus bachmani""",1
"""2021-5""","""Chroicocephalus cirrocephalus""",1
"""2021-5""","""Larus argentatus""",1
"""2021-5""","""Circus aeruginosus""",1
"""2021-6""","""Aves""",126187
"""2021-6""","""Homo sapiens""",1168
"""2021-6""","""Homo sapiens""",298
"""2021-6""","""Pelecanus crispus""",78
"""2021-6""","""Larus dominicanus""",29
"""2021-6""","""Equidae""",13
"""2021-6""","""Phalacrocorax capensis""",13
"""2021-6""","""Cygnus atratus""",12
"""2021-6""","""Threskiornis aethiopicus""",8
"""2021-6""","""Laridae""",7
"""2021-6""","""Phalacrocorax carbo""",3
"""2021-6""","""Larus argentatus""",2
"""2021-6""","""Grus paradisea""",2
"""2021-6""","""Stercorarius lonnbergi""",1
"""2021-6""","""Thalasseus sandvicensis""",1
"""2021-6""","""Anas platyrhynchos""",1
"""2021-6""","""Haliaeetus albicilla""",1
"""2021-6""","""Branta leucopsis""",1
"""2021-6""","""Cygnus olor""",1
"""2021-7""","""Aves""",176456
"""2021-7""","""Homo sapiens""",2874
"""2021-7""","""Homo sapiens""",1158
"""2021-7""","""Pelecanus crispus""",7
"""2021-7""","""Larus argentatus""",2
"""2021-7""","""Stercorarius skua""",2
"""2021-8""","""Aves""",69964
"""2021-8""","""Homo sapiens""",6496
"""2021-8""","""Homo sapiens""",5026
"""2021-8""","""Cygnus olor""",3
"""2021-8""","""Phalacrocorax carbo""",2
"""2021-8""","""Bostrychia hagedash""",2
"""2021-8""","""Bubo bubo""",1
"""2021-8""","""Larus argentatus""",1
"""2021-8""","""Larus canus""",1
"""2021-8""","""Mergus merganser""",1
"""2021-8""","""Accipiter gentilis""",1
"""2021-9""","""Aves""",301535
"""2021-9""","""Homo sapiens""",6058
"""2021-9""","""Homo sapiens""",3298
"""2021-9""","""Phalacrocorax capensis""",3223
"""2021-9""","""Phasianus colchicus""",42
"""2021-9""","""Phalacrocorax lucidus""",4
"""2021-9""","""Branta leucopsis""",3
"""2021-9""","""Spheniscus demersus""",2
"""2021-9""","""Sterna hirundo""",1
"""2022-1""","""Aves""",517486
"""2022-1""","""Homo sapiens""",43390
"""2022-1""","""Homo sapiens""",4934
"""2022-1""","""Anas platyrhynchos""",12
"""2022-1""","""Grus monacha""",1
"""2022-10""","""Aves""",1087475
"""2022-10""","""Homo sapiens""",133751
"""2022-10""","""Homo sapiens""",66543
"""2022-10""","""Chroicocephalus ridibundus""",276
"""2022-10""","""Branta canadensis""",135
"""2022-10""","""Sterna hirundo""",96
"""2022-10""","""Anser anser""",65
"""2022-10""","""Cygnus olor""",58
"""2022-10""","""Anas crecca""",49
"""2022-10""","""Anser brachyrhynchus""",46
"""2022-10""","""Anas platyrhynchos""",45
