yearMonth,species,class,monthlyCases
"""2015-12""","""Homo sapiens""","""Mammalia""",21298
"""2015-2""","""Homo sapiens""","""Mammalia""",270716
"""2015-2""","""Homo sapiens""","""Mammalia""",142148
"""2015-3""","""Homo sapiens""","""Mammalia""",162152
"""2015-3""","""Homo sapiens""","""Mammalia""",93430
"""2015-4""","""Homo sapiens""","""Mammalia""",40358
"""2015-4""","""Homo sapiens""","""Mammalia""",24072
"""2015-5""","""Homo sapiens""","""Mammalia""",19626
"""2015-5""","""Homo sapiens""","""Mammalia""",10778
"""2015-6""","""Homo sapiens""","""Mammalia""",37837
"""2015-6""","""Homo sapiens""","""Mammalia""",25384
"""2015-7""","""Homo sapiens""","""Mammalia""",41978
"""2015-7""","""Homo sapiens""","""Mammalia""",20410
"""2015-8""","""Homo sapiens""","""Mammalia""",38103
"""2015-8""","""Homo sapiens""","""Mammalia""",20618
"""2015-9""","""Homo sapiens""","""Mammalia""",16272
"""2015-9""","""Homo sapiens""","""Mammalia""",8354
"""2016-1""","""Homo sapiens""","""Mammalia""",130506
"""2016-1""","""Homo sapiens""","""Mammalia""",84480
"""2016-10""","""Homo sapiens""","""Mammalia""",30424
"""2016-10""","""Homo sapiens""","""Mammalia""",15160
"""2016-11""","""Homo sapiens""","""Mammalia""",47851
"""2016-11""","""Homo sapiens""","""Mammalia""",20224
"""2016-12""","""Homo sapiens""","""Mammalia""",172902
"""2016-12""","""Homo sapiens""","""Mammalia""",58344
"""2016-2""","""Homo sapiens""","""Mammalia""",331136
"""2016-2""","""Homo sapiens""","""Mammalia""",184594
"""2016-3""","""Homo sapiens""","""Mammalia""",227552
"""2016-3""","""Homo sapiens""","""Mammalia""",134175
"""2016-4""","""Homo sapiens""","""Mammalia""",85508
"""2016-4""","""Homo sapiens""","""Mammalia""",54060
"""2016-5""","""Homo sapiens""","""Mammalia""",36576
"""2016-5""","""Homo sapiens""","""Mammalia""",27050
"""2016-6""","""Homo sapiens""","""Mammalia""",19464
"""2016-6""","""Homo sapiens""","""Mammalia""",14299
"""2016-7""","""Homo sapiens""","""Mammalia""",15374
"""2016-7""","""Homo sapiens""","""Mammalia""",9825
"""2016-8""","""Homo sapiens""","""Mammalia""",27103
"""2016-8""","""Homo sapiens""","""Mammalia""",14147
"""2016-9""","""Homo sapiens""","""Mammalia""",21960
"""2016-9""","""Homo sapiens""","""Mammalia""",12576
"""2017-1""","""Homo sapiens""","""Mammalia""",298221
"""2017-1""","""Homo sapiens""","""Mammalia""",115624
"""2017-10""","""Homo sapiens""","""Mammalia""",31013
"""2017-10""","""Homo sapiens""","""Mammalia""",21370
"""2017-11""","""Homo sapiens""","""Mammalia""",53155
"""2017-11""","""Homo sapiens""","""Mammalia""",33354
"""2017-12""","""Homo sapiens""","""Mammalia""",187991
"""2017-12""","""Homo sapiens""","""Mammalia""",104956
"""2017-2""","""Homo sapiens""","""Mammalia""",154190
"""2017-2""","""Homo sapiens""","""Mammalia""",62690
"""2017-3""","""Homo sapiens""","""Mammalia""",83728
"""2017-3""","""Homo sapiens""","""Mammalia""",37070
"""2017-4""","""Homo sapiens""","""Mammalia""",43572
"""2017-4""","""Homo sapiens""","""Mammalia""",22268
"""2017-5""","""Homo sapiens""","""Mammalia""",50400
"""2017-5""","""Homo sapiens""","""Mammalia""",23634
"""2017-6""","""Homo sapiens""","""Mammalia""",44882
"""2017-6""","""Homo sapiens""","""Mammalia""",16310
"""2017-7""","""Homo sapiens""","""Mammalia""",81820
"""2017-7""","""Homo sapiens""","""Mammalia""",43698
"""2017-8""","""Homo sapiens""","""Mammalia""",53166
"""2017-8""","""Homo sapiens""","""Mammalia""",29934
"""2017-9""","""Homo sapiens""","""Mammalia""",41318
"""2017-9""","""Homo sapiens""","""Mammalia""",21768
"""2018-1""","""Homo sapiens""","""Mammalia""",455308
"""2018-1""","""Homo sapiens""","""Mammalia""",258758
"""2018-10""","""Homo sapiens""","""Mammalia""",29749
"""2018-10""","""Homo sapiens""","""Mammalia""",19011
"""2018-10""","""Equidae""","""Mammalia""",188
"""2018-11""","""Homo sapiens""","""Mammalia""",44912
"""2018-11""","""Homo sapiens""","""Mammalia""",26421
"""2018-12""","""Homo sapiens""","""Mammalia""",176328
"""2018-12""","""Homo sapiens""","""Mammalia""",94770
"""2018-2""","""Homo sapiens""","""Mammalia""",384492
"""2018-2""","""Homo sapiens""","""Mammalia""",197598
"""2018-3""","""Homo sapiens""","""Mammalia""",208734
"""2018-3""","""Homo sapiens""","""Mammalia""",110486
"""2018-4""","""Homo sapiens""","""Mammalia""",67686
"""2018-4""","""Homo sapiens""","""Mammalia""",37794
"""2018-5""","""Homo sapiens""","""Mammalia""",12986
"""2018-5""","""Homo sapiens""","""Mammalia""",10927
"""2018-6""","""Homo sapiens""","""Mammalia""",12196
"""2018-6""","""Homo sapiens""","""Mammalia""",11292
"""2018-7""","""Homo sapiens""","""Mammalia""",19558
"""2018-7""","""Homo sapiens""","""Mammalia""",14854
"""2018-8""","""Homo sapiens""","""Mammalia""",19760
"""2018-8""","""Homo sapiens""","""Mammalia""",12699
"""2018-9""","""Homo sapiens""","""Mammalia""",18634
"""2018-9""","""Homo sapiens""","""Mammalia""",14000
"""2019-1""","""Homo sapiens""","""Mammalia""",390936
"""2019-1""","""Homo sapiens""","""Mammalia""",208126
"""2019-10""","""Homo sapiens""","""Mammalia""",25798
"""2019-10""","""Homo sapiens""","""Mammalia""",17456
"""2019-11""","""Homo sapiens""","""Mammalia""",39552
"""2019-11""","""Homo sapiens""","""Mammalia""",26035
"""2019-12""","""Homo sapiens""","""Mammalia""",227436
"""2019-12""","""Homo sapiens""","""Mammalia""",155621
"""2019-12""","""Aves""",null,5634
"""2019-2""","""Homo sapiens""","""Mammalia""",358240
"""2019-2""","""Homo sapiens""","""Mammalia""",199832
"""2019-2""","""Equidae""","""Mammalia""",129
"""2019-3""","""Homo sapiens""","""Mammalia""",178154
"""2019-3""","""Homo sapiens""","""Mammalia""",100025
"""2019-4""","""Homo sapiens""","""Mammalia""",91476
"""2019-4""","""Homo sapiens""","""Mammalia""",53327
"""2019-4""","""Equidae""","""Mammalia""",699
"""2019-5""","""Homo sapiens""","""Mammalia""",47016
"""2019-5""","""Homo sapiens""","""Mammalia""",32164
"""2019-5""","""Aves""",null,0
"""2019-6""","""Homo sapiens""","""Mammalia""",53580
"""2019-6""","""Homo sapiens""","""Mammalia""",33988
"""2019-6""","""Aves""",null,1754
"""2019-7""","""Homo sapiens""","""Mammalia""",47344
"""2019-7""","""Homo sapiens""","""Mammalia""",31381
"""2019-8""","""Homo sapiens""","""Mammalia""",26874
"""2019-8""","""Homo sapiens""","""Mammalia""",18060
"""2019-8""","""Aves""",null,195
"""2019-9""","""Homo sapiens""","""Mammalia""",29395
"""2019-9""","""Homo sapiens""","""Mammalia""",17964
"""2020-1""","""Homo sapiens""","""Mammalia""",700352
"""2020-1""","""Homo sapiens""","""Mammalia""",437500
"""2020-1""","""Aves""",null,6872
"""2020-10""","""Homo sapiens""","""Mammalia""",666
"""2020-10""","""Aves""",null,330
"""2020-10""","""Homo sapiens""","""Mammalia""",124
"""2020-10""","""Mareca penelope""","""Aves""",4
"""2020-10""","""Anser anser""","""Aves""",1
"""2020-11""","""Homo sapiens""","""Mammalia""",784
"""2020-11""","""Homo sapiens""","""Mammalia""",304
"""2020-11""","""Mareca penelope""","""Aves""",1
"""2020-11""","""Cygnus olor""","""Aves""",1
"""2020-11""","""Anas crecca""","""Aves""",1
"""2020-12""","""Aves""",null,58487
"""2020-12""","""Homo sapiens""","""Mammalia""",884
"""2020-12""","""Homo sapiens""","""Mammalia""",390
"""2020-12""","""Mareca penelope""","""Aves""",4
"""2020-12""","""Cygnus olor""","""Aves""",3
"""2020-12""","""Anas crecca""","""Aves""",2
"""2020-12""","""Anser anser""","""Aves""",1
"""2020-12""","""Branta canadensis""","""Aves""",1
"""2020-12""","""Anas crecca""",null,0
"""2020-2""","""Homo sapiens""","""Mammalia""",429455
"""2020-2""","""Homo sapiens""","""Mammalia""",232769
"""2020-2""","""Aves""",null,7990
"""2020-2""","""Tyto longimembris""","""Aves""",4
"""2020-2""","""Corvus splendens""","""Aves""",4
"""2020-3""","""Homo sapiens""","""Mammalia""",111320
"""2020-3""","""Homo sapiens""","""Mammalia""",58546
"""2020-3""","""Aves""",null,2665
"""2020-3""","""Corvus splendens""","""Aves""",197
"""2020-3""","""Harpactes erythrocephalus""","""Aves""",7
"""2020-4""","""Aves""",null,3070
"""2020-4""","""Homo sapiens""","""Mammalia""",1222
