yearMonth,country,species,class,monthlyCases
"""2005-5""","""TH""","""Homo sapiens""","""Mammalia""",54
"""2005-5""","""ID""","""Homo sapiens""","""Mammalia""",33
"""2005-5""","""US""","""Homo sapiens""","""Mammalia""",25
"""2005-5""","""NO""","""Homo sapiens""","""Mammalia""",25
"""2005-5""","""MX""","""Homo sapiens""","""Mammalia""",12
"""2005-5""","""UY""","""Homo sapiens""","""Mammalia""",10
"""2005-5""","""BR""","""Homo sapiens""","""Mammalia""",9
"""2005-5""","""CO""","""Homo sapiens""","""Mammalia""",4
"""2005-5""","""DK""","""Homo sapiens""","""Mammalia""",4
"""2005-5""","""TN""","""Equidae""","""Mammalia""",4
"""2005-5""","""DO""","""Homo sapiens""","""Mammalia""",2
"""2005-5""","""VE""","""Homo sapiens""","""Mammalia""",2
"""2005-6""","""CN""","""Homo sapiens""","""Mammalia""",13608
"""2005-6""","""ZA""","""Homo sapiens""","""Mammalia""",2403
"""2005-6""","""CL""","""Homo sapiens""","""Mammalia""",2096
"""2005-6""","""AR""","""Homo sapiens""","""Mammalia""",1312
"""2005-6""","""AU""","""Homo sapiens""","""Mammalia""",960
"""2005-6""","""IT""","""Homo sapiens""","""Mammalia""",656
"""2005-6""","""PH""","""Homo sapiens""","""Mammalia""",290
"""2005-6""","""PE""","""Homo sapiens""","""Mammalia""",208
"""2005-6""","""PY""","""Homo sapiens""","""Mammalia""",168
"""2005-6""","""TH""","""Homo sapiens""","""Mammalia""",138
"""2005-6""","""UY""","""Homo sapiens""","""Mammalia""",108
"""2005-6""","""NZ""","""Homo sapiens""","""Mammalia""",82
"""2005-6""","""JP""","""Homo sapiens""","""Mammalia""",46
"""2005-6""","""BR""","""Homo sapiens""","""Mammalia""",18
"""2005-6""","""MX""","""Homo sapiens""","""Mammalia""",12
"""2005-6""","""CO""","""Homo sapiens""","""Mammalia""",10
"""2005-6""","""VE""","""Homo sapiens""","""Mammalia""",6
"""2005-7""","""CN""","""Homo sapiens""","""Mammalia""",3888
"""2005-3""","""GR""","""Aves""","""Aves""",0
"""2005-7""","""AU""","""Homo sapiens""","""Mammalia""",1620
"""2005-7""","""AR""","""Homo sapiens""","""Mammalia""",1060
"""2005-7""","""CL""","""Homo sapiens""","""Mammalia""",612
"""2005-7""","""IT""","""Homo sapiens""","""Mammalia""",530
"""2005-7""","""ZA""","""Homo sapiens""","""Mammalia""",411
