uq
"""US-Bison bison-Enterococcus casseliflavus"""
"""US-Bison bison-Enterococcus faecalis"""
"""US-Bison bison-Enterococcus faecium"""
"""US-Bison bison-Enterococcus hirae"""
"""US-Bison bison-Enterococcus mundtii"""
"""US-Bison bison-Fasciola hepatica"""
"""US-Bison bison-Leptospira interrogans serovar Australis"""
"""US-Bison bison-Leptospira interrogans serovar Icterohaemorrhagiae"""
"""US-Bison bison-Leptospira interrogans serovar Hardjo"""
"""US-Bison bison-Leptospira interrogans serovar Autumnalis"""
"""US-Bison bison-Leptospira interrogans serovar Bratislava"""
"""US-Bison bison-Leptospira interrogans"""
"""US-Bison bison-Alcelaphine gammaherpesvirus 1"""
"""US-Bison bison-Podospora comata"""
"""CA-Bison bison athabascae-Mycobacterium avium"""
"""CA-Bison bison-Mycobacterium tuberculosis variant bovis"""
"""US-Bison bison-Epizootic hemorrhagic disease virus"""
"""US-Bison bison-Pasteurella multocida"""
"""CA-Bison bison athabascae-Pasteurella multocida"""
"""US-Bison bison-Bovine viral diarrhea virus 1"""
"""US-Bison bison-Bovine orthopneumovirus"""
"""US-Bison bison-Bovine alphaherpesvirus 1"""
"""PL-Bison bonasus-Ashworthius sidemi"""
"""BY-Bison bonasus-Chabertia ovina"""
"""PL-Bison bonasus-Chorioptes bovis"""
"""BY-Bison bonasus-Cooperia oncophora"""
"""PL-Bison bonasus-Cooperia oncophora"""
"""BY-Bison bonasus-Cooperia pectinata"""
"""BY-Bison bonasus-Cooperia punctata"""
"""PL-Bison bonasus-Cooperia punctata"""
"""PL-Bison bonasus-Corynebacterium pilosum"""
"""PL-Bison bonasus-Corynebacterium renale"""
"""PL-Bison bonasus-Cryptosporidium parvum"""
"""PL-Bison bonasus-Dermacentor reticulatus"""
"""BY-Bison bonasus-Dicrocoelium dendriticum"""
"""BY-Bison bonasus-Dictyocaulus viviparus"""
"""PL-Bison bonasus-Escherichia coli"""
"""BY-Bison bonasus-Fasciola hepatica"""
"""PL-Bison bonasus-Fusobacterium necrophorum"""
"""PL-Bison bonasus-Giardia intestinalis"""
"""BY-Bison bonasus-Haemonchus placei"""
"""PL-Bison bonasus-Haemonchus placei"""
"""PL-Bison bonasus-Ixodes persulcatus"""
"""PL-Bison bonasus-Ixodes ricinus"""
"""PL-Bison bonasus-Lipoptena cervi"""
"""BY-Bison bonasus-Moniezia benedeni"""
"""PL-Bison bonasus-Mycobacterium tuberculosis variant bovis"""
"""PL-Bison bonasus-Mycoplasmopsis bovigenitalium"""
"""PL-Bison bonasus-Mycoplasmopsis bovis"""
"""BY-Bison bonasus-Nematodirus europaeus"""
"""PL-Bison bonasus-Nematodirus europaeus"""
"""BY-Bison bonasus-Nematodirus helvetianus"""
"""PL-Bison bonasus-Nematodirus helvetianus"""
"""BY-Bison bonasus-Oesophagostomum radiatum"""
"""BY-Bison bonasus-Onchocerca gutturosa"""
"""PL-Bison bonasus-Onchocerca gutturosa"""
"""BY-Bison bonasus-Onchocerca lienalis"""
"""PL-Bison bonasus-Onchocerca lienalis"""
"""BY-Bison bonasus-Ostertagia kolchida"""
"""PL-Bison bonasus-Ostertagia kolchida"""
"""BY-Bison bonasus-Ostertagia leptospicularis"""
"""PL-Bison bonasus-Ostertagia leptospicularis"""
"""BY-Bison bonasus-Ostertagia lyrata"""
"""PL-Bison bonasus-Ostertagia lyrata"""
"""BY-Bison bonasus-Ostertagia ostertagi"""
"""PL-Bison bonasus-Ostertagia ostertagi"""
"""BY-Bison bonasus-Parafasciolopsis fasciolaemorpha"""
"""BY-Bison bonasus-Paramphistomum cervi"""
"""PL-Bison bonasus-Pseudomonas aeruginosa"""
"""PL-Bison bonasus-Psoroptes ovis"""
"""BY-Bison bonasus-Setaria labiatopapillosa"""
"""PL-Bison bonasus-Spiculopteragia asymmetrica"""
"""BY-Bison bonasus-Spiculopteragia boehmi"""
"""PL-Bison bonasus-Spiculopteragia boehmi"""
"""BY-Bison bonasus-Thelazia gulosa"""
"""BY-Bison bonasus-Trichostrongylus axei"""
"""PL-Bison bonasus-Trichostrongylus axei"""
"""BY-Bison bonasus-Trichostrongylus capricola"""
"""PL-Bison bonasus-Trichostrongylus capricola"""
"""BY-Bison bonasus-Ovis"""
"""PL-Bison bonasus-Bovine alphaherpesvirus 1"""
"""BR-Blastocerus dichotomus-Amblyomma cajennense"""
"""BR-Blastocerus dichotomus-Amblyomma tigrinum"""
"""BR-Blastocerus dichotomus-Amblyomma triste"""
"""BR-Blastocerus dichotomus-Anaplasma marginale"""
