uq
"""SK-Sus scrofa-Classical swine fever virus"""
"""DE-Aves-Alcelaphine gammaherpesvirus 1"""
"""ZA-Ovis aries-Rift Valley fever virus"""
"""FI-Bos taurus-Coxiella burnetii"""
"""UA-Sus scrofa-Brucella suis"""
"""DO-Aves-unidentified influenza virus"""
"""HT-Aves-unidentified influenza virus"""
"""HR-Capra hircus-Brucella melitensis"""
"""OM-Homo sapiens-Influenza A virus"""
"""FI-Aves-Brucella melitensis"""
"""SZ-Bos taurus-Rift Valley fever virus"""
"""MA-Ovis aries-Peste des petits ruminants virus"""
"""CN-Aves-H5N1 subtype"""
"""LA-Capra hircus-Bacillus anthracis"""
"""NG-Bos taurus-Lyssavirus rabies"""
"""PK-Aves-H5N1 subtype"""
"""DE-Sus scrofa-Brucella suis"""
"""CN-Capra hircus-Peste des petits ruminants virus"""
"""IN-Equidae-Influenza A virus"""
"""PE-Aves-Burkholderia mallei"""
"""TW-Capra hircus-Capripoxvirus"""
"""BW-Ovis aries-Foot-and-mouth disease virus"""
"""SK-Oncorhynchus mykiss-Viral hemorrhagic septicemia virus"""
"""EG-Equidae-Influenza A virus"""
"""GP-Equidae-West Nile virus"""
"""KG-Bos taurus-Bacillus anthracis"""
"""YT-Ovis aries-Rift Valley fever virus"""
"""MA-Capra hircus-Peste des petits ruminants virus"""
"""RO-Sus scrofa-Brucella suis"""
"""SI-Cyprinus carpio-Cyprinid herpesvirus 3"""
"""US-Equidae-Theileria equi"""
"""HR-Equidae-Equine arteritis virus"""
"""RO-Bos taurus-Bacillus anthracis"""
"""BT-Sus scrofa-Porcine reproductive and respiratory syndrome virus"""
"""ML-Bos taurus-unidentified influenza virus"""
"""PE-Aves-Gallid alphaherpesvirus 1"""
"""BR-Equidae-Burkholderia mallei"""
"""CH-Ovis aries-Bluetongue virus"""
"""HU-Bos taurus-Bluetongue virus"""
"""NL-Homo sapiens-Influenza A virus"""
"""DK-Bos taurus-Bluetongue virus"""
"""GH-Homo sapiens-Influenza B virus"""
"""NL-Homo sapiens-Influenza B virus"""
"""AU-Haliotis rubra-Bluetongue virus"""
"""LU-Oryctolagus cuniculus-Myxoma virus"""
"""MW-Bos taurus-Foot-and-mouth disease virus"""
"""SE-Bos taurus-Bluetongue virus"""
"""IT-Equidae-West Nile virus"""
"""NL-Bos taurus-[Eubacterium] cellulosolvens"""
"""SE-Ovis aries-Bluetongue virus"""
"""FI-Bos taurus-Bacillus anthracis"""
"""MN-Capra hircus-Capripoxvirus"""
"""DE-Aves-unidentified influenza virus"""
"""IL-Equidae-Equine arteritis virus"""
"""SI-Bos taurus-Bacillus anthracis"""
"""CA-Bos taurus-Lyssavirus rabies"""
"""IL-Equidae-Equine encephalosis virus"""
"""HN-Homo sapiens-Influenza B virus"""
"""CN-Ovis aries-Capripoxvirus"""
"""BW-Capra hircus-Foot-and-mouth disease virus"""
"""TW-Aves-unidentified influenza virus"""
"""PT-Bos taurus-Bluetongue virus"""
"""CM-Homo sapiens-Influenza B virus"""
"""NL-Ovis aries-[Eubacterium] cellulosolvens"""
"""AT-Bos taurus-Bluetongue virus"""
"""FR-Felis catus-Lyssavirus"""
"""SE-Aves-Foot-and-mouth disease virus"""
"""BZ-Aves-Bonamia ostreae"""
"""GR-Ovis aries-Bluetongue virus"""
"""DE-Bos taurus-[Eubacterium] cellulosolvens"""
"""IL-Bos taurus-Bluetongue virus"""
"""IL-Capra hircus-Bluetongue virus"""
"""CN-Sus scrofa-Foot-and-mouth disease virus"""
"""AR-Canis lupus familiaris-Lyssavirus rabies"""
"""BG-Aves-Classical swine fever virus"""
